Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2020,ZWE,LSO,Zimbabwe,Lesotho,REF,,,,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2020,ZWE,LTU,Zimbabwe,Lithuania,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,MYS,Zimbabwe,Malaysia,ASY,,,,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2020,ZWE,MYS,Zimbabwe,Malaysia,REF,,,,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
2020,ZWE,MWI,Zimbabwe,Malawi,ASY,,,,0,0,0,7,0,0,7,0,0,0,0,0,0,0,7
2020,ZWE,MLT,Zimbabwe,Malta,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020,ZWE,NAM,Zimbabwe,Namibia,ASY,,,,0,0,0,17,0,0,17,0,0,0,35,0,0,35,52
2020,ZWE,NAM,Zimbabwe,Namibia,REF,,,,0,0,10,17,0,0,27,0,10,0,20,0,0,30,57
2020,ZWE,NLD,Zimbabwe,Netherlands,ASY,,,,0,0,0,0,0,13,13,0,0,0,0,0,12,12,25
2020,ZWE,NLD,Zimbabwe,Netherlands,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2020,ZWE,NOR,Zimbabwe,Norway,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,NOR,Zimbabwe,Norway,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2020,ZWE,NZL,Zimbabwe,New Zealand,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020,ZWE,NZL,Zimbabwe,New Zealand,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2020,ZWE,PAN,Zimbabwe,Panama,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020,ZWE,PHL,Zimbabwe,Philippines,REF,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2020,ZWE,POL,Zimbabwe,Poland,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,POL,Zimbabwe,Poland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,PRT,Zimbabwe,Portugal,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020,ZWE,ROU,Zimbabwe,Romania,REF,,,,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6
2020,ZWE,ZAF,Zimbabwe,South Africa,ASY,,,,0,95,180,5260,37,0,5572,5,78,164,5093,83,0,5423,10995
2020,ZWE,ZAF,Zimbabwe,South Africa,REF,,,,0,73,175,1422,59,0,1729,5,74,163,1928,55,0,2225,3954
2020,ZWE,ESP,Zimbabwe,Spain,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2020,ZWE,ESP,Zimbabwe,Spain,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020,ZWE,SVN,Zimbabwe,Slovenia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,SWZ,Zimbabwe,Kingdom of Eswatini,ASY,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2020,ZWE,SWZ,Zimbabwe,Kingdom of Eswatini,REF,,,,0,8,0,0,0,0,8,0,0,0,0,0,0,0,8
2020,ZWE,SWE,Zimbabwe,Sweden,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
2020,ZWE,SWE,Zimbabwe,Sweden,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2020,ZWE,CHE,Zimbabwe,Switzerland,ASY,,,,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2020,ZWE,CHE,Zimbabwe,Switzerland,REF,,,,0,7,0,0,0,0,7,0,0,0,0,0,0,0,12
2020,ZWE,SXM,Zimbabwe,Sint Maarten (Dutch part),REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,TZA,Zimbabwe,United Republic of Tanzania,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,THA,Zimbabwe,Thailand,REF,,,,0,0,0,0,0,0,0,9,0,0,0,0,0,9,9
2020,ZWE,UKR,Zimbabwe,Ukraine,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,UKR,Zimbabwe,Ukraine,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,URY,Zimbabwe,Uruguay,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,USA,Zimbabwe,United States of America,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041
2020,ZWE,USA,Zimbabwe,United States of America,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756
2020,ZWE,ZMB,Zimbabwe,Zambia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,ZWE,Zimbabwe,Zimbabwe,OOC,,,,11,15,6,62,0,0,94,10,18,10,0,0,0,38,132
2020,ZWE,ZWE,Zimbabwe,Zimbabwe,RET,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280
