Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2002,ZWE,SWE,Zimbabwe,Sweden,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,ZWE,CHE,Zimbabwe,Switzerland,ASY,,,,0,0,0,6,0,0,6,0,0,0,12,0,0,12,18
2002,ZWE,USA,Zimbabwe,United States of America,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
2002,ZWE,USA,Zimbabwe,United States of America,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
2003,ZWE,EGY,Zimbabwe,Egypt,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2003,ZWE,AUS,Zimbabwe,Australia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2003,ZWE,AUS,Zimbabwe,Australia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2003,ZWE,AUT,Zimbabwe,Austria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,BWA,Zimbabwe,Botswana,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2003,ZWE,BWA,Zimbabwe,Botswana,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2003,ZWE,BGR,Zimbabwe,Bulgaria,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,BLZ,Zimbabwe,Belize,ASY,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2003,ZWE,CAN,Zimbabwe,Canada,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
2003,ZWE,CAN,Zimbabwe,Canada,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654
2003,ZWE,ECU,Zimbabwe,Ecuador,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,GBR,Zimbabwe,United Kingdom of Great Britain and Northern Ireland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5754
2003,ZWE,DEU,Zimbabwe,Germany,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2003,ZWE,DEU,Zimbabwe,Germany,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2003,ZWE,HKG,Zimbabwe,"China, Hong Kong Special Administrative Region",ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,HKG,Zimbabwe,"China, Hong Kong Special Administrative Region",REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,HUN,Zimbabwe,Hungary,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,IRL,Zimbabwe,Ireland,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
2003,ZWE,IRL,Zimbabwe,Ireland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
2003,ZWE,KEN,Zimbabwe,Kenya,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,MOZ,Zimbabwe,Mozambique,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2003,ZWE,NLD,Zimbabwe,Netherlands,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2003,ZWE,NLD,Zimbabwe,Netherlands,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2003,ZWE,NOR,Zimbabwe,Norway,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,NZL,Zimbabwe,New Zealand,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2003,ZWE,NZL,Zimbabwe,New Zealand,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
2003,ZWE,PAK,Zimbabwe,Pakistan,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2003,ZWE,PRT,Zimbabwe,Portugal,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2003,ZWE,ZAF,Zimbabwe,South Africa,ASY,,,,0,0,0,47,0,0,47,0,0,0,111,0,0,111,2677
2003,ZWE,ZAF,Zimbabwe,South Africa,REF,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,13
2003,ZWE,SWE,Zimbabwe,Sweden,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2003,ZWE,SWE,Zimbabwe,Sweden,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,CHE,Zimbabwe,Switzerland,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2003,ZWE,THA,Zimbabwe,Thailand,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ZWE,USA,Zimbabwe,United States of America,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363
2003,ZWE,USA,Zimbabwe,United States of America,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
2004,ZWE,EGY,Zimbabwe,Egypt,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,ARG,Zimbabwe,Argentina,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,AUS,Zimbabwe,Australia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2004,ZWE,AUT,Zimbabwe,Austria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,BWA,Zimbabwe,Botswana,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
2004,ZWE,BWA,Zimbabwe,Botswana,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2004,ZWE,BRA,Zimbabwe,Brazil,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,BGR,Zimbabwe,Bulgaria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,BLZ,Zimbabwe,Belize,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,CAN,Zimbabwe,Canada,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2004,ZWE,CAN,Zimbabwe,Canada,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979
2004,ZWE,COL,Zimbabwe,Colombia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,CYP,Zimbabwe,Cyprus,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,DNK,Zimbabwe,Denmark,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,FIN,Zimbabwe,Finland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,FRA,Zimbabwe,France,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2004,ZWE,GBR,Zimbabwe,United Kingdom of Great Britain and Northern Ireland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6505
2004,ZWE,DEU,Zimbabwe,Germany,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
2004,ZWE,DEU,Zimbabwe,Germany,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2004,ZWE,GHA,Zimbabwe,Ghana,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,HKG,Zimbabwe,"China, Hong Kong Special Administrative Region",ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,HUN,Zimbabwe,Hungary,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,IRL,Zimbabwe,Ireland,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2004,ZWE,IRL,Zimbabwe,Ireland,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312
2004,ZWE,KEN,Zimbabwe,Kenya,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,MYS,Zimbabwe,Malaysia,ASY,,,,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2004,ZWE,MWI,Zimbabwe,Malawi,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,MOZ,Zimbabwe,Mozambique,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2004,ZWE,NAM,Zimbabwe,Namibia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,NAM,Zimbabwe,Namibia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ZWE,NLD,Zimbabwe,Netherlands,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2004,ZWE,NLD,Zimbabwe,Netherlands,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2004,ZWE,NOR,Zimbabwe,Norway,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2004,ZWE,NZL,Zimbabwe,New Zealand,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
